Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR18170917_R1_process1	53.32845913107599	49.0	99.50431300381591	100	18.181818181818183	29365265.0
SRR18170917_R2_process1	51.43006227078626	51.0	99.50431300381591	100	18.181818181818183	29365265.0
SRR18170918_R1_process1	53.968263081588645	49.0	99.57790414769252	100	18.181818181818183	34977207.0
SRR18170918_R2_process1	52.240993239786334	51.0	99.57790414769252	100	18.181818181818183	34977207.0
SRR18170919_R1_process1	55.890704935953586	49.0	99.49840604839439	100	18.181818181818183	32882115.0
SRR18170919_R2_process1	54.34402628546027	51.0	99.49840604839439	100	18.181818181818183	32882115.0
SRR18170921_R1_process1	59.01046445614821	47.0	99.65654180163978	100	18.181818181818183	75786393.0
SRR18170921_R2_process1	55.5652629025337	49.0	99.65654180163978	100	18.181818181818183	75786393.0
SRR18170928_R1_process1	51.07441870083911	48.0	99.64029738282895	100	18.181818181818183	32963302.0
SRR18170928_R2_process1	49.46842532589619	50.0	99.64029738282895	100	9.090909090909092	32963302.0
SRR18170929_R1_process1	57.70881942475938	48.0	99.51909254458113	100	18.181818181818183	46606543.0
SRR18170929_R2_process1	55.21469972687507	50.0	99.51909254458113	100	18.181818181818183	46606543.0
SRR18170930_R1_process1	49.13181849303204	49.0	99.54502014892782	100	9.090909090909092	40156231.0
SRR18170930_R2_process1	46.78622392187886	51.0	99.54502014892782	100	9.090909090909092	40156231.0
SRR18170931_R1_process1	51.70668435529808	49.0	99.25440436041895	100	9.090909090909092	57968008.0
SRR18170931_R2_process1	48.81142166242542	50.0	99.25440436041895	100	0.0	57968008.0
