Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3437051_R1_process1	SRR3437051_R1_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8866923.0	893.3 Mbp	0.0	31-101	49.0	70.87712672634228	99.7553133144384	100	pass	pass	pass	warn	pass	warn	warn	pass	pass	pass
SRR3437051_R2_process1	SRR3437051_R2_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8866923.0	893.3 Mbp	0.0	31-101	49.0	83.98486073655027	99.7553133144384	100	pass	pass	pass	fail	pass	warn	warn	pass	pass	pass
SRR3437052_R1_process1	SRR3437052_R1_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9944457.0	1 Gbp	0.0	31-101	49.0	62.602671877171225	99.78792185435564	100	pass	pass	pass	warn	pass	warn	warn	warn	pass	pass
SRR3437052_R2_process1	SRR3437052_R2_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9944457.0	1 Gbp	0.0	31-101	48.0	80.40408556753509	99.78792185435564	100	pass	pass	pass	fail	pass	warn	warn	pass	pass	pass
SRR3437053_R1_process1	SRR3437053_R1_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10010488.0	1 Gbp	0.0	31-101	47.0	44.38779555477391	99.78254346841032	100	pass	pass	pass	warn	warn	warn	warn	fail	warn	pass
SRR3437053_R2_process1	SRR3437053_R2_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10010488.0	1 Gbp	0.0	31-101	47.0	44.343320004272684	99.78254346841032	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR3437054_R1_process1	SRR3437054_R1_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9948405.0	1 Gbp	0.0	31-101	49.0	56.95809124150831	99.75644799342206	100	pass	pass	pass	fail	warn	warn	warn	warn	pass	pass
SRR3437054_R2_process1	SRR3437054_R2_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9948405.0	1 Gbp	0.0	31-101	49.0	57.439127389903746	99.75644799342206	100	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR3437055_R1_process1	SRR3437055_R1_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942840.0	1 Gbp	0.0	31-101	48.0	60.98523240560202	99.83351356352914	100	pass	pass	pass	warn	pass	warn	warn	warn	pass	pass
SRR3437055_R2_process1	SRR3437055_R2_process1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942840.0	1 Gbp	0.0	31-101	48.0	79.35822664973108	99.83351356352914	100	pass	pass	pass	warn	pass	warn	warn	pass	pass	pass
