Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3437051_1	SRR3437051_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12669226.0	1.2 Gbp	0.0	101.0	50.0	70.04771877410938	101.0	101	pass	fail	pass	warn	pass	warn	pass	pass	pass	pass
SRR3437051_2	SRR3437051_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12669226.0	1.2 Gbp	0.0	101.0	50.0	90.41635239387855	101.0	101	pass	fail	fail	fail	pass	warn	pass	pass	pass	pass
SRR3437052_1	SRR3437052_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14334146.0	1.4 Gbp	0.0	101.0	50.0	62.70028057460004	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437052_2	SRR3437052_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14334146.0	1.4 Gbp	0.0	101.0	50.0	88.7529414076757	101.0	101	pass	fail	fail	fail	pass	warn	pass	pass	pass	pass
SRR3437053_1	SRR3437053_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11704708.0	1.1 Gbp	0.0	101.0	48.0	45.57089506475319	101.0	101	pass	pass	pass	warn	warn	warn	pass	fail	warn	pass
SRR3437053_2	SRR3437053_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11704708.0	1.1 Gbp	0.0	101.0	48.0	49.07748999706871	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR3437054_1	SRR3437054_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11778539.0	1.1 Gbp	0.0	101.0	50.0	57.40245942321528	101.0	101	pass	pass	pass	fail	warn	warn	pass	warn	pass	pass
SRR3437054_2	SRR3437054_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11778539.0	1.1 Gbp	0.0	101.0	50.0	61.00576275945691	101.0	101	pass	fail	pass	fail	warn	pass	pass	warn	pass	pass
SRR3437055_1	SRR3437055_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13838453.0	1.3 Gbp	0.0	101.0	50.0	60.997832292624885	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437055_2	SRR3437055_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13838453.0	1.3 Gbp	0.0	101.0	49.0	87.57271291751492	101.0	101	pass	fail	fail	warn	pass	warn	pass	pass	pass	pass
SRR3437056_1	SRR3437056_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16650422.0	1.6 Gbp	0.0	101.0	47.0	45.55493617097233	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
SRR3437056_2	SRR3437056_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16650422.0	1.6 Gbp	0.0	101.0	47.0	46.79284444631545	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
SRR3437057_1	SRR3437057_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16776163.0	1.6 Gbp	0.0	101.0	50.0	67.0451428277389	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437057_2	SRR3437057_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16776163.0	1.6 Gbp	0.0	101.0	49.0	89.77341536696552	101.0	101	pass	fail	fail	fail	pass	warn	pass	pass	pass	pass
SRR3437058_1	SRR3437058_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11234085.0	1.1 Gbp	0.0	101.0	51.0	67.05836148892215	101.0	101	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR3437058_2	SRR3437058_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11234085.0	1.1 Gbp	0.0	101.0	51.0	71.74815583174411	101.0	101	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
SRR3437059_1	SRR3437059_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18791448.0	1.8 Gbp	0.0	101.0	46.0	48.96913006445093	101.0	101	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR3437059_2	SRR3437059_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18791448.0	1.8 Gbp	0.0	101.0	46.0	50.429617783243884	101.0	101	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
SRR3437060_1	SRR3437060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8048522.0	812.9 Mbp	0.0	101.0	50.0	64.9103670155991	101.0	101	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR3437060_2	SRR3437060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8048522.0	812.9 Mbp	0.0	101.0	50.0	67.04528173548849	101.0	101	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SRR3437061_1	SRR3437061_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25299367.0	2.5 Gbp	0.0	101.0	50.0	63.682418196661985	101.0	101	pass	fail	pass	fail	pass	warn	pass	warn	pass	pass
SRR3437061_2	SRR3437061_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25299367.0	2.5 Gbp	0.0	101.0	50.0	88.45582695807826	101.0	101	pass	fail	fail	fail	pass	warn	pass	pass	pass	pass
SRR3437062_1	SRR3437062_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14110826.0	1.4 Gbp	0.0	101.0	50.0	67.78436751624326	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437062_2	SRR3437062_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14110826.0	1.4 Gbp	0.0	101.0	50.0	90.05845956068205	101.0	101	pass	fail	fail	warn	pass	warn	pass	pass	pass	pass
SRR3437063_1	SRR3437063_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21458763.0	2.1 Gbp	0.0	101.0	50.0	62.53008414488407	101.0	101	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
SRR3437063_2	SRR3437063_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21458763.0	2.1 Gbp	0.0	101.0	50.0	63.19518674668221	101.0	101	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
SRR3437064_1	SRR3437064_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18635587.0	1.8 Gbp	0.0	101.0	49.0	55.72837526777472	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437064_2	SRR3437064_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18635587.0	1.8 Gbp	0.0	101.0	49.0	68.33165034248984	101.0	101	pass	fail	fail	fail	pass	warn	pass	warn	pass	pass
SRR3437065_1	SRR3437065_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17830552.0	1.8 Gbp	0.0	101.0	50.0	54.64158694201576	101.0	101	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
SRR3437065_2	SRR3437065_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17830552.0	1.8 Gbp	0.0	101.0	50.0	67.86005171275592	101.0	101	pass	fail	fail	fail	pass	warn	pass	warn	pass	pass
SRR3437066_1	SRR3437066_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8425588.0	850.9 Mbp	0.0	101.0	50.0	57.188930620168655	101.0	101	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
SRR3437066_2	SRR3437066_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8425588.0	850.9 Mbp	0.0	101.0	50.0	59.21488160241033	101.0	101	pass	fail	pass	fail	warn	pass	pass	warn	pass	pass
