Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3437051_1	29.952281225890616	50.0	101.0	101	10.0	12669226.0
SRR3437051_2	9.583647606121446	50.0	101.0	101	30.0	12669226.0
SRR3437052_1	37.29971942539996	50.0	101.0	101	10.0	14334146.0
SRR3437052_2	11.247058592324294	50.0	101.0	101	30.0	14334146.0
SRR3437053_1	54.42910493524681	48.0	101.0	101	10.0	11704708.0
SRR3437053_2	50.92251000293129	48.0	101.0	101	20.0	11704708.0
SRR3437054_1	42.59754057678472	50.0	101.0	101	10.0	11778539.0
SRR3437054_2	38.99423724054309	50.0	101.0	101	20.0	11778539.0
SRR3437055_1	39.002167707375115	50.0	101.0	101	10.0	13838453.0
SRR3437055_2	12.42728708248508	49.0	101.0	101	20.0	13838453.0
SRR3437056_1	54.44506382902767	47.0	101.0	101	10.0	16650422.0
SRR3437056_2	53.20715555368455	47.0	101.0	101	10.0	16650422.0
SRR3437057_1	32.9548571722611	50.0	101.0	101	10.0	16776163.0
SRR3437057_2	10.226584633034477	49.0	101.0	101	30.0	16776163.0
SRR3437058_1	32.941638511077855	51.0	101.0	101	10.0	11234085.0
SRR3437058_2	28.251844168255886	51.0	101.0	101	20.0	11234085.0
SRR3437059_1	51.03086993554907	46.0	101.0	101	10.0	18791448.0
SRR3437059_2	49.570382216756116	46.0	101.0	101	10.0	18791448.0
SRR3437060_1	35.08963298440089	50.0	101.0	101	10.0	8048522.0
SRR3437060_2	32.95471826451151	50.0	101.0	101	20.0	8048522.0
SRR3437061_1	36.317581803338015	50.0	101.0	101	20.0	25299367.0
SRR3437061_2	11.544173041921738	50.0	101.0	101	30.0	25299367.0
SRR3437062_1	32.215632483756735	50.0	101.0	101	10.0	14110826.0
SRR3437062_2	9.941540439317947	50.0	101.0	101	20.0	14110826.0
SRR3437063_1	37.46991585511593	50.0	101.0	101	0.0	21458763.0
SRR3437063_2	36.80481325331779	50.0	101.0	101	0.0	21458763.0
SRR3437064_1	44.27162473222528	49.0	101.0	101	10.0	18635587.0
SRR3437064_2	31.668349657510163	49.0	101.0	101	30.0	18635587.0
SRR3437065_1	45.35841305798424	50.0	101.0	101	10.0	17830552.0
SRR3437065_2	32.13994828724408	50.0	101.0	101	30.0	17830552.0
SRR3437066_1	42.811069379831345	50.0	101.0	101	10.0	8425588.0
SRR3437066_2	40.78511839758967	50.0	101.0	101	20.0	8425588.0
SRR3437067_1	38.91153308315649	50.0	101.0	101	10.0	20753602.0
SRR3437067_2	27.844987306854023	50.0	101.0	101	30.0	20753602.0
SRR3437068_1	45.75348647739316	48.0	101.0	101	20.0	23331913.0
SRR3437068_2	34.50526485002118	49.0	101.0	101	30.0	23331913.0
SRR3437069_1	43.28748805745503	50.0	101.0	101	20.0	21199711.0
SRR3437069_2	31.877196911715316	50.0	101.0	101	30.0	21199711.0
SRR3437070_1	44.334989907864355	51.0	101.0	101	20.0	29414498.0
SRR3437070_2	32.93439662987171	51.0	101.0	101	30.0	29414498.0
SRR3437071_1	42.31363717610287	49.0	101.0	101	20.0	28498641.0
SRR3437071_2	31.58804339463383	49.0	101.0	101	30.0	28498641.0
SRR3437072_1	43.22365983787766	50.0	101.0	101	10.0	21339921.0
